title,abstract,year,source,keyword,middle_group,cluster,topic,topic_label,topic_prob
TSNN: A Topic and Structure Aware Neural Network for Rumor Detection,"{Detecting rumors on social media and preventing its spread play a critical role for politics, economy, etc. Conventional studies mainly focus on exploiting the content or context of the source post, while they always ignore the rich topic information within the source post. To tackle this issue, in this paper, we propose a Topic and Structure Aware Neural Network (TSNN) for rumor detection. To be specific, we explore two kinds of topic signals, including a coarse-grained topic signal (i.e., topic credibility) and a fine-grained topic signal (i.e., latent topic representation), and tailor them to the task of rumor detection. Moreover, we introduce a new auxiliary task, i.e., topic credibility prediction, in order to effectively leverage the rich topic information within source posts. Finally, we develop a multi-task learning strategy that helps improve rumor detection performance by jointly learning the task of topic credibility prediction and user credibility prediction. Extensive experiments on three real-world datasets demonstrate that the proposed approach TSNN is superior to the state-of-the-art baseline methods.}",2023,Neurocomputing,"{multi-task learning,neural topic models,rumor detection,topic credibility}",Neuroscience,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",1.0
"Human papillomavirus prevalence and vaccine effectiveness in young women in Germany, 2017/2018: results from a nationwide study","{Background: Infections with human papillomaviruses (HPV) are sexually transmitted and can cause cancer. In Germany, vaccination against HPV is recommended for girls and boys aged 9–17 years. We aimed to investigate HPV DNA prevalence, genotype distribution and vaccine effectiveness (VE) in women aged 20–25 years 10 years after the introduction of HPV vaccination in Germany (2018–2019), and compared these data to an equally designed study from 2010–2012. Methods: Seventy six geographical clusters were randomly selected, followed by random selection of 61 women aged 20–25 years per cluster. Participants performed cervicovaginal self-sampling and answered questions on demographics, sexual behaviour and HPV vaccination. Samples were tested for 18 high risk and nine low risk HPV genotypes. We performed chi-square tests, Fisher’s exact test, unpaired Student’s t-test and proportion t-test, and calculated crude and adjusted prevalence ratios (PR) and 95% CIs. Results: Of 7,858 contacted women a total of 1,226 agreed to participate. Of these, 94 women were positive for HPV types 16 and/or 18. HPV16 prevalence was 7.0% (95% CI 5.6–8.6) and HPV18 prevalence was 0.8% (95% CI 0.4–1.5). HPV6 and HPV11 were rare with only five (0.4%; 0.1–0.9) and one (0%; 95% CI 0.0–0.5) positive tests. Seven hundred fifty-seven women (62%) had received at least one HPV vaccine dose and 348 (28%) were vaccinated as currently recommended. Confounder-adjusted VE was 46.4% (95% CI 4.2–70.1) against HPV16/18 infection and 49.1% (95% CI 8.2–71.8) against infection with at least one HPV genotype covered by the quadrivalent HPV vaccine. Compared with the 2010–2012 study results, HPV16/18 prevalence dropped from 22.5% (95% CI 19.0–26.3) to 10.3% (95% CI 7.5–13.9; p < 0.0001) in unvaccinated participants. Conclusion: Vaccine-covered HPV genotypes were rare among 20–25 years old women in Germany and decreased compared to the time point shortly after the start of the HPV vaccination program. HPV prevalence of almost all vaccine-covered genotypes was strongly reduced in vaccinated participants. A decrease of HPV16 and HPV18 was even observed in unvaccinated participants, compared to 2010–2012 data, suggesting indirect protection of unvaccinated women. Low VE against HPV16/18 and HPV6/11/16/18 in our study might be attributable to study design in combination with the endpoint selection of (mainly transient) HPV DNA positivity.}",2023,Frontiers in Public Health,"{cervical cancer prevention,hpv genotyping,population-based study,prevalence,self-sampling,vaccine effectiveness}",Medicine,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",0.4884057010134769
Indeterminism belief protects against uncertainty: first empirical findings,"{We empirically explore whether perceptions of (in)determinism are related to the willingness to tolerate uncertainty. We argue that the belief in indeterminism supports a sense of personal autonomy and independence from external influence, a stance that provides protection from perceived uncertainties. Our preliminary study (N = 61) suggests that the belief in an indeterminate world is positively associated with uncertainty tolerance, whereas beliefs in free will and metaphysical dualism are not. We extend these findings by examining proxies of indeterminism belief in a cross-national dataset (N = 31 countries). We find that greater political and personal freedom is associated with higher tolerance for uncertainty, whereas religious belief, which posits a world determined by divine powers, is negatively associated with uncertainty tolerance. With these theoretical ideas and empirical findings, we hope to stimulate research to further advance our understanding of the association between belief in indeterminism and tolerating uncertainty.}",2023,Discover Psychology,"{autonomy,causality,indeterminism,tolerance,uncertainty}",Neuroscience,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",0.6821853055476508
Can patient-reported outcomes and inflammatory markers define endotype 2 in chronic rhinosinusitis without nasal polyps?,"{Background: Chronic rhinosinusitis (CRS) is a heterogeneous disease at the clinical phenotype level (without nasal polyp [CRSsNP] vs with nasal polyp [CRSwNP]) and at the underlying inflammatory endotype level (type 2 vs non-type 2). Whether the endotype is associated with clinical presentation in patients with CRSsNP has yet to be explored in detail. Objective: To identify associations between endotypes and their clinical significance in patients with CRSsNP based on tissue interleukin-5 levels. Methods: A total of 104 patients with CRSsNP who underwent functional endoscopic sinus surgery between 2013 and 2017 were endotyped. We collected immunologic and clinical parameters and evaluated whether there were associations between the endotype and clinical features using Visual Analog Scale (VAS), Sino-Nasal Outcome Test—22 (SNOT-22), Sniffin’ Sticks test, Lund-Mackay CT score, and nasal endoscopy. Results: Mean tissue interleukin-5 levels were used to identify type 2 inflammation (non-type 2: 3.37 vs type 2: 191.98 pg/g tissue; P < .001). There were no significant clinical differences measured by patient-reported outcome measures between patients with type 2 CRSsNP and those with non-type 2 CRSsNP preoperatively. Type 2 and non-type 2 CRSsNP did not differentiate in CT score, Sniffin’ Sticks test, and nasal endoscopy. Postoperative SNOT-22 and VAS scores correlated well with each other (r = 0.75; P < .01). Postoperative VAS scores were in both groups significantly lower than before the operation (type 2: 5.07 vs 2.99; P < .01; non-type 2: 5.74 vs 3.22; P < .01), but not associated to the inflammatory subtype. Conclusion: The type of inflammation does not affect the symptoms, the computed tomography scan, or the postoperative results in CRSsNP in contrast to former findings in CRSwNP. Trial Registration: Belgian registration number (B.U.N.) No. B6702020000097.}",2023,"Annals of Allergy, Asthma and Immunology",,Immunology and Microbiology,BIO,-1,"sport, snot, chronic rhinosinusitis, type crssnp, tissue",0.540662365839073
"baymedr: an R package and web application for the calculation of Bayes factors for superiority, equivalence, and non-inferiority designs","{Background: Clinical trials often seek to determine the superiority, equivalence, or non-inferiority of an experimental condition (e.g., a new drug) compared to a control condition (e.g., a placebo or an already existing drug). The use of frequentist statistical methods to analyze data for these types of designs is ubiquitous even though they have several limitations. Bayesian inference remedies many of these shortcomings and allows for intuitive interpretations, but are currently difficult to implement for the applied researcher. Results: We outline the frequentist conceptualization of superiority, equivalence, and non-inferiority designs and discuss its disadvantages. Subsequently, we explain how Bayes factors can be used to compare the relative plausibility of competing hypotheses. We present baymedr, an R package and web application, that provides user-friendly tools for the computation of Bayes factors for superiority, equivalence, and non-inferiority designs. Instructions on how to use baymedr are provided and an example illustrates how existing results can be reanalyzed with baymedr. Conclusions: Our baymedr R package and web application enable researchers to conduct Bayesian superiority, equivalence, and non-inferiority tests. baymedr is characterized by a user-friendly implementation, making it convenient for researchers who are not statistical experts. Using baymedr, it is possible to calculate Bayes factors based on raw data and summary statistics.}",2023,BMC Medical Research Methodology,"{bayes factor,baymedr,equivalence,non-inferiority,superiority}",Medicine,BIO,1,"neck, baymedr, cup, prescreening, equivalence non inferiority",1.0
Anomaly Detection for Numerical Literals in Knowledge Graphs: A Short Review of Approaches,"{Anomaly Detection is an important problem that has been well-studied within diverse research areas and application domains. However, within the field of Semantic Web and Knowledge Graphs, anomaly detection has been relatively overlooked. Additionally, the existing literature on anomaly detection over Knowledge Graphs lacks proper organization and poses challenges for new researchers seeking a comprehensive understanding. In light of these gaps, this paper aims to offer a well-structured and comprehensive overview of the existing research conducted on anomaly detection over Knowledge Graphs. In this overview, we review the quality metrics of KGs and discuss the possible errors which may occur in different parts of the RDF data. Additionally, we outline a generic conceptual framework for the execution pipeline of Anomaly Detection over KGs. Moreover, we study the anomaly detection techniques, along with their variants, and present key assumptions, to differentiate between normal and anomalous behavior. Finally, we outline open issues in research and challenges encountered while adopting anomaly detection techniques for KGs.}",2023,"Proceedings - 2023 IEEE 6th International Conference on Artificial Intelligence and Knowledge Engineering, AIKE 2023","{anomaly detection,knowledge graphs,linked open data,outlier detection,rdf data,semantic web}",Medicine,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",0.8011723906224547
Indeterminism belief protects against uncertainty: first empirical findings,"{We empirically explore whether perceptions of (in)determinism are related to the willingness to tolerate uncertainty. We argue that the belief in indeterminism supports a sense of personal autonomy and independence from external influence, a stance that provides protection from perceived uncertainties. Our preliminary study (N = 61) suggests that the belief in an indeterminate world is positively associated with uncertainty tolerance, whereas beliefs in free will and metaphysical dualism are not. We extend these findings by examining proxies of indeterminism belief in a cross-national dataset (N = 31 countries). We find that greater political and personal freedom is associated with higher tolerance for uncertainty, whereas religious belief, which posits a world determined by divine powers, is negatively associated with uncertainty tolerance. With these theoretical ideas and empirical findings, we hope to stimulate research to further advance our understanding of the association between belief in indeterminism and tolerating uncertainty.}",2023,Discover Psychology,"{autonomy,causality,indeterminism,tolerance,uncertainty}",Medicine,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",0.8662059423734754
Indeterminism belief protects against uncertainty: first empirical findings,"{We empirically explore whether perceptions of (in)determinism are related to the willingness to tolerate uncertainty. We argue that the belief in indeterminism supports a sense of personal autonomy and independence from external influence, a stance that provides protection from perceived uncertainties. Our preliminary study (N = 61) suggests that the belief in an indeterminate world is positively associated with uncertainty tolerance, whereas beliefs in free will and metaphysical dualism are not. We extend these findings by examining proxies of indeterminism belief in a cross-national dataset (N = 31 countries). We find that greater political and personal freedom is associated with higher tolerance for uncertainty, whereas religious belief, which posits a world determined by divine powers, is negatively associated with uncertainty tolerance. With these theoretical ideas and empirical findings, we hope to stimulate research to further advance our understanding of the association between belief in indeterminism and tolerating uncertainty.}",2023,Discover Psychology,"{autonomy,causality,indeterminism,tolerance,uncertainty}",Neuroscience,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",0.7788174623497541
Normative data for interpreting the SNOT-22,"{Objectives. The Sino-Nasal Outcome Test 22 (SNOT-22) is a validated patient-reported outcome instrument to evaluate the health-related quality of life (HRQoL) in patients with chronic rhinosinusitis (CRS). There are no published normative SNOT-22 scores, limiting its interpretation. Methods. Symptom scores from 1,000 SNOT-22 questionnaires were analysed by princi-pal component analysis (PCA) and exploratory factor analyses. Data were derived from a survey with 1,000 healthy Europeans (reference cohort) who were recruited using the Re-spondi panel for market and social science research. This subsample was quoted to the pop-ulation distribution of the German Microcensus and selected from a non-probability panel. Results. The overall normative SNOT-22 score can be detected to be 20.2 ± 19.44. Male (18.49 ± 19.15) and older (> 50 years old; 18.3 ± 17.49) participants had overall lower SNOT-22 mean results than females (21.8 ± 19.6) and younger (21.4 ± 20.55) participants, indicating higher levels of satisfaction. PCA proposed two SNOT-22 domains (“physiologi-cal well-being” and “psychological well-being”), which explained 65% of the variance. Conclusions. These are the first published (German) normative scores for the SNOT-22 and provide a clinical reference point for the interpretation of data.}",2023,Acta Otorhinolaryngologica Italica,"{chronic rhinosinusitis,functional endoscopic sinus surgery,normative score,patient-reported outcome measures,sino-nasal outcome test 22}",Medicine,BIO,1,"neck, baymedr, cup, prescreening, equivalence non inferiority",0.7082799989626809
Measuring Six Facets of Curiosity in Germany and the UK: A German-Language Adaptation of the 5DCR and Its Comparability with the English-Language Source Version,"{The five-dimensional curiosity-scale revised (5DCR) by Kashdan et al. (2020) is the most comprehensive curiosity inventory available to date. 5DCR measures six facets of curiosity with four items each. Here, we present a German-language adaptation of the 5DCR and comprehensively validate this adaptation in a diverse sample of adults from Germany (N = 486). Moreover, we provide new evidence on the original English-language 5DCR in a parallel sample from the UK (N = 483). In both countries, we investigate the six facets' reliability, factorial validity, and convergent and discriminant validity with a large set of individual-differences constructs. In addition, we analyze the measurement invariance of the curiosity facets across the UK and Germany and across socio-demographic subgroups defined by age, sex, and education. Findings demonstrate that the new German-language adaptation of 5DCR and its English-language source version show psychometric properties similar to the original studies by Kashdan et al. (2020) in the United States. All six curiosity facets reach at least partial scalar invariance across cultures, sex, education, and mostly also across age groups. The findings support the six-faceted theory of curiosity and show that 5DCR allows for a valid assessment of curiosity across cultures.}",2023,Journal of Personality Assessment,,Medicine,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",0.5514619425208611
More than two intuitions,"{We consider an underdeveloped feature of De Neys's model. Decisions with multiple intuitions per option are neither trivial to explain nor rare. These decision scenarios are crucial for an assessment of the model's generalizability and adequacy. Besides monitoring absolute differences in intuition strength, the mind might add the strengths of intuitions per choice option, leading to competing and testable hypotheses.}",2023,Behavioral and Brain Sciences,,Neuroscience,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",1.0
