Topic,Words,Frequency,Timestamp,LLM_Label
18,"political communication, actors, web tracking, highlighting, predictive",3,2025,Tweet Political Attitudes Measure
19,"transformation, immigrants, debates, germany, large scale",1,2025,German Political Attitude Shifts
20,"social media, open science, annotation, goal, trust",8,2025,Open Science Training Platforms
21,"modeling, factor, valid, highlighting, settings",4,2025,Gender Depth Correlation Models
22,"immigration, vote choice, individual level, right wing, news articles",6,2025,Right Wing Voting Behavior
23,"labor, levels, preference, crises, european union eu",6,2025,European Governance Crisis Attitudes
24,"performance, natural language processing, democracy, search engines, gender",4,2025,Search Engine Performance Metrics
26,"discourse, polarization, social media, election, dynamics",5,2025,Social Media Polarization Scenarios
27,"similarity, benchmark, networks, italy, cross national",7,2025,Family Network Correlation Study
28,"distribution, machine learning, selection, outperforms, cognitive",5,2025,Interview Performance Assessment Tool
-1,"climate change, policy, crises, germany, evolution",1,2026,
0,"misinformation, effects, german, preregistered, variance",2,2026,German Migration Personality Differences
