title,abstract,year,source,keyword,middle_group,cluster,topic,topic_label,topic_prob
Early and Late Participation during the Field Period: Response Timing in a Mixed-Mode Probability-Based Panel Survey,"{Reluctance of respondents to participate in surveys has long drawn the attention of survey researchers. Yet, little is known about what drives a respondent’s decision to answer the survey invitation early or late during the field period. Moreover, we still lack evidence on response timing in longitudinal surveys. That is, the questions on whether response timing is a rather stable respondent characteristic and what—if anything—affects change in response timing across different interviews remain open. We relied on data from a mixed-mode general population panel survey collected between 2014 and 2016 to study the stability of response timing across 18 panel waves and factors that influence the decision to participate early or late in the field period. Our results suggest that the factors which had effects on response timing are different in the mail and web modes. Moreover, we found that experience with prior panel waves affected the respondent’s decision to participate early or late. Overall, the present study advocates understanding response timing as a metric variable and, consequently, the need to reflect this in modeling strategies.}",2023,Sociological Methods and Research,"{field period,mixed-mode,panel surveys,participation,reluctant respondents,response timing}",Social Sciences,SS,6,"nonresponse, waves, machine learning, mixed mode panel, population",0.20660047488900773
River Sampling – a Fishing Expedition: A Non-Probability Case Study,"{The ease with which large amounts of data can be collected via the Internet has led to a renewed interest in the use of non-probability samples. To that end, this paper performs a case study, comparing two non-probability datasets – one based on a river-sampling approach, one drawn from an online-access panel – to a reference probability sample. Of particular interest is the single-question river-sampling approach, as the data collected for this study presents an attempt to field a multi-item scale with such a sampling method. Each dataset consists of the same psychometric measures for two of the Big-5 personality traits, which are expected to perform independently of sample composition. To assess the similarity of the three datasets we compare their correlation matrices, apply linear and non-linear dimension reduction techniques, and analyze the distance between the datasets. Our results show that there are important limitations when implementing a multi-item scale via a single-question river sample. We find that, while the correlation between our data sets is similar, the samples are composed of persons with different personality traits.}",2023,"Methods, Data, Analyses","{big-5,non-linear dimension reduction,non-probability sample,river sample,web survey research}",Psychology,SS,11,"comparability, big, governance, personality traits, level",1.0
Baby’s CoThought: Leveraging Large Language Models for Enhanced Reasoning in Compact Models,"{Large Language Models (LLMs) demonstrate remarkable performance on a variety of natural language understanding (NLU) tasks, primarily due to their in-context learning ability. This ability could be applied to building baby-like models, i.e. models at small scales, improving training efficiency. In this paper, we propose a “CoThought” pipeline, which efficiently trains smaller “baby” language models (BabyLMs) by leveraging the Chain of Thought prompting of LLMs. Our pipeline restructures a dataset of less than 100M in size using GPT-3.5-turbo, transforming it into task-oriented, human-readable texts that are comparable to the school texts for language learners. The BabyLM is then pretrained on this restructured dataset in a RoBERTa fashion. In evaluations across 4 benchmarks, our BabyLM outperforms the vanilla RoBERTa in 10 linguistic, NLU, and question-answering tasks by more than 3 points, showing a superior ability to extract contextual information. These results suggest that compact LMs pretrained on small, LLM-restructured data can better understand tasks and achieve improved performance.}",2023,"CoNLL 2023 - BabyLM Challenge at the 27th Conference on Computational Natural Language Learning, Proceedings",,Social Sciences,SS,1,"machine learning, large language models, llms, mining, errors",1.0
PREDICTING NONRESPONSE IN FUTURE WAVES OF A PROBABILITY-BASED MIXED-MODE PANEL WITH MACHINE LEARNING,"{Nonresponse in panel studies can lead to a substantial loss in data quality owing to its potential to introduce bias and distort survey estimates. Recent work investigates the usage of machine learning to predict nonresponse in advance, such that predicted nonresponse propensities can be used to inform the data collection process. However, predicting nonresponse in panel studies requires accounting for the longitudinal data structure in terms of model building, tuning, and evaluation. This study proposes a longitudinal framework for predicting nonresponse with machine learning and multiple panel waves and illustrates its application. With respect to model building, this approach utilizes information from multiple waves by introducing features that aggregate previous (non)response patterns. Concerning model tuning and evaluation, temporal crossvalidation is employed by iterating through pairs of panel waves such that the training and test sets move in time. Implementing this approach with data from a German probability-based mixed-mode panel shows that aggregating information over multiple panel waves can be used to build prediction models with competitive and robust performance over all test waves.}",2023,Journal of Survey Statistics and Methodology,"{machine learning,nonresponse,panel attrition,prediction,temporal crossvalidation}",Social Sciences,SS,6,"nonresponse, waves, machine learning, mixed mode panel, population",0.07748339141414405
Counterfeits on dark markets: a measurement between Jan-2014 and Sep-2015,"{Counterfeits harm consumers, governments, and intellectual property holders. They accounted for 3.3% of worldwide trades in 2016, having an estimated value of $509 billion in the same year. Estimations in the literature are mostly based on border seizures, but in this paper, we examined openly labeled counterfeits on darknet markets, which allowed us to gather and analyze information from a different perspective. Here, we analyzed data from 11 darknet markets for the period Jan-2014 and Sep-2015. The findings suggest that darknet markets harbor similar counterfeit product types to those found in seizures but that the share of watches is higher while the share of electronics, clothes, shoes, and Tobacco is lower on darknet markets. Also, darknet market counterfeits seem to have similar shipping origins as seized goods, with some exceptions, such as a relatively high share (5%) of dark market counterfeits originating from the US. Lastly, counterfeits on dark markets tend to have a relatively low price and sales volume. However, based on preliminary estimations, the equivalent products on the surface web appear to be advertised for a multiple of the prices found for darknet markets. We provide some suggestions on how information about darknet market counterfeits could be used by companies and authorities for preventative purposes, showing that insight gathering from the dark web is valuable and could be a cost-effective alternative (or compliment) to border seizures. Thus, monitoring darknet markets can help us understand the counterfeit landscape better.}",2023,Crime Science,"{crime science,fakes,forgeries,machine learning,nlp,seized goods}",Social Sciences,SS,5,"trust, learning, journalism, measurement, groups",0.4608639762645787
"Privacy Is Dead, Long Live Privacy!: Two Diverging Perspectives on Current Issues Related to Privacy","{Privacy is a hotly debated topic in academia and society. The digitalization of our world has had enormous implications for our privacy. Some researchers and public figures agree that privacy has changed substantially, that we are living in a post-privacy world, and that we need to address privacy differently. Conversely, others maintain that privacy remains a relevant concept in our society, and that, although facets and degrees of privacy change, the conceptual core and societal relevance remain unchanged and intact. In this paper, we discuss the current state and future of privacy, presenting two opposing stances on four central questions: Has privacy changed? Is privacy dead? Have we lost control over our own privacy? How should we react? With this dialogue we hope to provide an overview of current positions on privacy by presenting divergent lines of reasoning and thinking, while outlining potential paths forward.}",2023,Journal of Media Psychology,"{control,privacy calculus,privacy online,privacy paradox,social media,social networking sites}",Social Sciences,SS,5,"trust, learning, journalism, measurement, groups",0.8261994067494307
Using the Probability-Based GESIS Panel for Longitudinal Psychological Research on the COVID-19 Outbreak in Germany,"{The GESIS Panel (GP) allows the scientific community to collect survey data free of charge within a probability-based mixed-mode panel. In addition, the GP provides high-quality longitudinal data for secondary research. In March 2020, the GP conducted a special survey on the coronavirus outbreak. Since then, the COVID-19 questionnaire module has become an integral part of the GP. In sum, 13 waves were fielded that included questions on COVID-19, e.g., on attitudes, opinions, and behaviors related to the pandemic. Here, we introduce the GP focusing on longitudinal psychological research opportunities regarding the COVID-19 outbreak.}",2023,Journal of Open Psychology Data,"{attitudes and behaviors,covid-19,longitudinal data,pandemic,survey}",Psychology,SS,10,"covid 19 pandemic, trust, actor, social science, hybrid",0.6632016606296571
A Short Scale to Measure Self-Reported Aversive Personality in Political Elites,"{In order to explain the behavior of political elites, research increasingly considers personality traits. Within this line of research, a recent focus is on socially aversive–yet non-pathological–personality traits (e.g., Machiavellianism, narcissism, psychopathy), with the idea to better understand behavior violating generally accepted ethical, moral, and social norms. Assessments of politicians’ aversive personality traits have so far been almost exclusively based on observer reports of experts and voters. Herein, by contrast, we introduce the Political Elites Aversive Personality Scale (“PEAPS”) particularly tailored to measure self-reported aversive personality among politicians. More precisely, based on two studies with German politicians, we develop a 6-item short scale comprising aspects of different socially aversive personality traits (Machiavellianism, narcissism, psychopathy, and spitefulness). The scale shows an acceptable model fit, an acceptable internal consistency, an acceptable measurement equivalence, and meaningful correlations with other (self-reported) psychological traits and campaign behavior. Moreover, the scale significantly contributes to the explanation of candidates’ negative campaigning, going beyond the explanatory power of models capturing broad, basic personality traits. Overall, the suggested scale provides interesting links to research in (political) psychology and can help to explain attitudes, behavior, and performance of political elites.}",2023,Journal of Personality Assessment,,Environmental Science,SS,3,"political, multilevel, perception, germany, trust",1.0
Solidarity: A European Value?,"{Solidarity is considered essential for the sustainability of societies, both at the level of individual contributions to society and as an aspect of cooperation between countries. As such, solidarity is often called upon by politicians in a declarative way. In contrast to most prior work, we investigate an attitudinal perspective on solidarity, not behavioural or policy-preference perspectives. We look at questions such as the prevalence of solidarity attitudes among European populations, the degree to which the declared norm is shared among these populations, and whether solidarity attitudes have changed with consecutive crises in Europe. We also discuss possible antecedents of solidarity levels. Distinguishing solidarity by close and universal scopes, we find that both are associated with the identification of citizens with communities at different levels. In country and time comparisons, European societies display a good degree of homogeneity and stability. Close solidarity is more pronounced than universal solidarity, and this may have even increased over consecutive crises. There are clear differences in relation to socio-historical region, but only modest associations with the religious composition of countries in terms of denominations. One role of religiosity might be that of an identity marker, where more heterogeneity comes with lower levels of solidarity.}",2023,Philosophy and Politics - Critical Explorations,"{european crises,evs,identity,latent class analysis,solidarity}",Social Sciences,SS,23,"european, governance, crises, attitudes, levels",1.0
The Early Bird Catches the Worm! Setting a Deadline for Online Panel Recruitment Incentives,"{The literature on the effects of incentives in survey research is vast and covers a diversity of survey modes. The mode of probability-based online panels, however, is still young and so is research into how to best recruit sample units into the panel. This paper sheds light on the effectiveness of a specific type of incentive in this context: a monetary incentive that is paid conditionally upon panel registration within two weeks of receiving the initial postal mail invitation. We tested early bird cash incentives in a large-scale recruitment experiment for the German Internet Panel (GIP) in 2018. We find that panel response rates are significantly higher when offering early bird cash incentives and that fieldwork progresses considerably faster, leading to fewer reminders and greater cost-effectiveness. Furthermore, sample representativeness is similarly high with or without early bird incentives.}",2023,Social Science Computer Review,"{cost-effectiveness,incentives,online panels,probability sampling,recruitment,representativeness}",Computer Science,SS,8,"recruitment, online panel, probability based, mixed mode, access",1.0
HOW DOES BACK TRANSLATION FARE AGAINST TEAM TRANSLATION? AN EXPERIMENTAL CASE STUDY IN THE LANGUAGE COMBINATION ENGLISH–GERMAN,"{When it comes to quality in questionnaire translation and hence comparability in comparative research, the chosen translation method is crucial for the outcome. Few empirical studies compare different translation methods—a fact which is often deplored in the research community. To fill the gap, in this study, the team translation approach is compared against a simple back-translation approach. The starting point in both cases was the initial English–German translations of ISSP (International Social Survey Program) questions. The final translations from both approaches were assessed, with a focus on how translation issues, such as mistranslations or wording issues identified in the initial translations were addressed. While none of the twenty-nine issues in the initial translation were present in the final team translation version, twenty-two of these issues were still present in the final version after the back-translation approach. For a selected number of items, we also ran a split-ballot experiment in a web survey. Only five out of fifteen items (33 percent) that went into the experiment showed significant differences between the translations, and only one could clearly be attributed to remaining errors in the back-translation version. In sum, the final translation from the team approach clearly outperformed the final translation from the back-translation approach when it comes to text-based criteria (in particular, accuracy and fluency). The quantitative test showed that many translation issues (those remaining in the translation after the back translation step) had no effect on the estimates. Nevertheless, we ask respondents to put effort into survey responding; in the same vein, we as researchers should put effort in the survey experience by providing questions that are clearly worded and free of errors, which puts the team approach ahead of the back-translation approach.}",2023,Journal of Survey Statistics and Methodology,"{back translation,comparison of translation methods,questionnaire translation,split-ballot experiment,team translation}",Mathematics,SS,17,"split, questionnaire, errors, machine, languages",1.0
Bringing the political system (back) into social tipping relevant to sustainability,"{Recently, social tipping dynamics relevant to sustainability have become the subject of a growing literature. Numerous publications seek to bring the concept of tipping (back) from the natural to the social system and make important contributions to its conceptualization, definition, and constant refinement. Yet, and despite its wide array, the current literature has a blind spot: it does neither adequately integrate, conceptualize, nor measure the role of the political sphere and thus underestimates its importance for social tipping processes. This is the starting point of our contribution, which not only emphasizes the political dimension's relevance to the analysis of social tipping, but also proposes two main ways to integrate it into such analyses: by conceptualizing the political sphere either as a trigger of social tipping, or as an element that can tip itself. Moreover, to capture the complexity of the political sphere, namely the interaction between networks, actors, and processes, we suggest analysing the political sphere along its three elements: polity, politics, and policy. We illustrate the empirical benefit of these refinements by presenting a comparative case study of the nuclear phase-out in Germany and Switzerland.}",2023,Energy Policy,"{policy,political sphere,politics,polity,social tipping,tipping dynamics}",Environmental Science,SS,-1,"energy, political, moderation, network, europe",0.14352894311399353
"Vocational education, tertiary education, and skill use across career stages","{Vocational education enhances smooth transitions into the labour market. However, this initial advantage might vanish over the career and eventually turn into a disadvantage because the skills of vocationally trained workers become outdated faster. So far, research has examined this potential vocational trade-off by assessing labour market outcomes such as employment and income. This study uses a different approach, it directly examines how different types of skills used at work change over the career of vocationally trained workers compared to tertiary-educated workers, and how career events shape skill-use changes. With data from the German National Education Study (NEPS), we examine five skills use dimensions based on job-tasks measures: analytical, creative, managerial, interactive, and manual skills. We find that skill-use differentials between vocational and tertiary-educated workers are only small to modest. The clearest differences relate to analytical and manual skills. Looking across career stages, the observed skill-use differentials remain rather stable across career stages - thus, the vocational skill trade-off thesis is only partially supported. Occupational mobility and unemployment contribute to observable changes, whereas job-related further training does not. Our results challenge skill-based explanations of a vocational trade-off.}",2023,European Sociological Review,,Social Sciences,SS,0,"germany, migration, differences, personality, election",1.0
No deal: German researchers’ publishing and citing behaviors after Big Deal negotiations with Elsevier,"{In 2014, a union of German research organizations established Projekt DEAL, a national-level project to negotiate licensing agreements with large scientific publishers. Negotiations between DEAL and Elsevier began in 2016, and broke down without a successful agreement in 2018; during this time, around 200 German research institutions canceled their license agreements with Elsevier, leading Elsevier to restrict journal access at those institutions.We investigated the effect on researchers’ publishing and citing behaviors from a bibliometric perspective, using a data set of ~400,000 articles published by researchers at DEAL institutions during 2012–2020. We further investigated these effects with respect to the timing of contract cancellations, research disciplines, collaboration patterns, and article open-access status. We find evidence for a decrease in Elsevier’s market share of articles from DEAL institutions, with the largest year-on-year market share decreases occurring from 2018 to 2020 following the implementation of access restrictions. We also observe year-on-year decreases in the proportion of citations, although the decrease is smaller. We conclude that negotiations with Elsevier and access restrictions have led to some reduced willingness to publish in Elsevier journals, but that researchers are not strongly affected in their ability to cite Elsevier articles, implying that researchers use other methods to access scientific literature.}",2023,Quantitative Science Studies,"{bibliometrics,big deals,germany,open access,scholarly publishing}",Social Sciences,SS,1,"machine learning, large language models, llms, mining, errors",0.5384836000597921
PREDICTING NONRESPONSE IN FUTURE WAVES OF A PROBABILITY-BASED MIXED-MODE PANEL WITH MACHINE LEARNING,"{Nonresponse in panel studies can lead to a substantial loss in data quality owing to its potential to introduce bias and distort survey estimates. Recent work investigates the usage of machine learning to predict nonresponse in advance, such that predicted nonresponse propensities can be used to inform the data collection process. However, predicting nonresponse in panel studies requires accounting for the longitudinal data structure in terms of model building, tuning, and evaluation. This study proposes a longitudinal framework for predicting nonresponse with machine learning and multiple panel waves and illustrates its application. With respect to model building, this approach utilizes information from multiple waves by introducing features that aggregate previous (non)response patterns. Concerning model tuning and evaluation, temporal crossvalidation is employed by iterating through pairs of panel waves such that the training and test sets move in time. Implementing this approach with data from a German probability-based mixed-mode panel shows that aggregating information over multiple panel waves can be used to build prediction models with competitive and robust performance over all test waves.}",2023,Journal of Survey Statistics and Methodology,"{machine learning,nonresponse,panel attrition,prediction,temporal crossvalidation}",Decision Sciences,SS,6,"nonresponse, waves, machine learning, mixed mode panel, population",0.08000186599421197
How to Detect and Influence Looking Up Answers to Political Knowledge Questions in Web Surveys,"{When answering political knowledge questions in web surveys, respondents can look up the correct answer on the Internet. This response behavior artificially inflates political knowledge scores that are supposed to measure fact-based information. In the present study, we address the existing knowledge gaps of previous research regarding looking up answers to political knowledge questions in web surveys. We conducted an experimental study based on the German Internet Panel, a large-scale population survey that uses a probability-based sample. Based on this experiment, we show that instructions help to reduce the number of lookups to knowledge questions in web surveys. We provide further evidence that looking up answers results in more correct answers to knowledge questions and, thus, in inflated political knowledge scores. Finally, our findings illustrate the challenges and benefits of using self-reported or paradata-based lookup measures as well as a combined measure that aims at utilizing both to detect lookups to political knowledge questions in web surveys.}",2023,Public Opinion Quarterly,,Social Sciences,SS,18,"content, political attitudes, web tracking, measure, tweets",1.0
No deal: German researchers’ publishing and citing behaviors after Big Deal negotiations with Elsevier,"{In 2014, a union of German research organizations established Projekt DEAL, a national-level project to negotiate licensing agreements with large scientific publishers. Negotiations between DEAL and Elsevier began in 2016, and broke down without a successful agreement in 2018; during this time, around 200 German research institutions canceled their license agreements with Elsevier, leading Elsevier to restrict journal access at those institutions.We investigated the effect on researchers’ publishing and citing behaviors from a bibliometric perspective, using a data set of ~400,000 articles published by researchers at DEAL institutions during 2012–2020. We further investigated these effects with respect to the timing of contract cancellations, research disciplines, collaboration patterns, and article open-access status. We find evidence for a decrease in Elsevier’s market share of articles from DEAL institutions, with the largest year-on-year market share decreases occurring from 2018 to 2020 following the implementation of access restrictions. We also observe year-on-year decreases in the proportion of citations, although the decrease is smaller. We conclude that negotiations with Elsevier and access restrictions have led to some reduced willingness to publish in Elsevier journals, but that researchers are not strongly affected in their ability to cite Elsevier articles, implying that researchers use other methods to access scientific literature.}",2023,Quantitative Science Studies,"{bibliometrics,big deals,germany,open access,scholarly publishing}",Social Sciences,SS,1,"machine learning, large language models, llms, mining, errors",0.5661693998864016
Disentangling the Link between Diverse Social Networks and Creativity: The Role of Personality Traits,"{Past studies have shown that being exposed to ethnocultural diversity can positively impact individual creativity. Yet, little is known about the interplay between situational (i.e., diversity) and dispositional (e.g., personality) factors in predicting creativity. Taking a person-situation approach, we use social network data to test the moderating role of personality in the relationship between having an ethnoculturally diverse network and creativity. Moreover, we investigate these questions in a diverse community sample of immigrants residing in the city of Barcelona (N = 122). Moderation analyses revealed that network diversity predicted higher levels of creativity in migrant individuals with medium to high levels of extraversion, and in those with low to medium levels of emotional stability. These results highlight the need to acknowledge the important role played by interacting individual-level dispositions and more objective meso-level contextual conditions in explaining one's ability to think creatively, especially in samples that have traditionally been underrepresented in previous literature.}",2023,Spanish Journal of Psychology,"{creativity,ethnocultural diversity,immigration,personality,social networks}",Social Sciences,SS,0,"germany, migration, differences, personality, election",1.0
