title,abstract,year,source,keyword,class_name,middle_group,subject_area,cluster,year_raw,clean_text,topic,topic_prob,topic_label
More than two intuitions,"{We consider an underdeveloped feature of De Neys's model. Decisions with multiple intuitions per option are neither trivial to explain nor rare. These decision scenarios are crucial for an assessment of the model's generalizability and adequacy. Besides monitoring absolute differences in intuition strength, the mind might add the strengths of intuitions per choice option, leading to competing and testable hypotheses.}",2023,Behavioral and Brain Sciences,,Physiology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,OTHER,2023,"more than two intuitions {we consider an underdeveloped feature of de neys's model. decisions with multiple intuitions per option are neither trivial to explain nor rare. these decision scenarios are crucial for an assessment of the model's generalizability and adequacy. besides monitoring absolute differences in intuition strength, the mind might add the strengths of intuitions per choice option, leading to competing and testable hypotheses.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
JCDL2023 Workshop: Joint Workshop of the 4th Extraction and Evaluation of Knowledge Entities from Scientific Documents (EEKE2023) and the 3rd AI + Informetrics (AII2023),"{The 4th Workshop on Extraction and Evaluation of Knowledge Entities from Scientific Documents (EEKE 2023) and the 3rd AI + Informetrics (AII2023) will be held in New Mexico, USA and online at the ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2023. The goal of these two workshop series (https://eeke-workshop.github.io/ and https://ai-informetrics.github.io/) are to engage the related communities in open problems in the extraction and evaluation of knowledge entities from scientific documents and the modeling and applications of AI + Informetrics for broad interests in science of science, science, technology, & innovation (ST&I), etc. This joint workshop consists of keynotes, oral presentations, and posters, and will attract not only academic researchers and librarians but also decision makers from governments and practical sectors.}",2023,Proceedings of the ACM/IEEE Joint Conference on Digital Libraries,"{artifical intelligence,informetrics,knowledge entity evaluation,knowledge entity extraction}",Engineering (all),,,OTHER,2023,"jcdl2023 workshop: joint workshop of the 4th extraction and evaluation of knowledge entities from scientific documents (eeke2023) and the 3rd ai + informetrics (aii2023) {the 4th workshop on extraction and evaluation of knowledge entities from scientific documents (eeke 2023) and the 3rd ai + informetrics (aii2023) will be held in new mexico, usa and online at the acm/ieee joint conference on digital libraries (jcdl) 2023. the goal of these two workshop series (https://eeke-workshop.github.io/ and https://ai-informetrics.github.io/) are to engage the related communities in open problems in the extraction and evaluation of knowledge entities from scientific documents and the modeling and applications of ai + informetrics for broad interests in science of science, science, technology, & innovation (st&i), etc. this joint workshop consists of keynotes, oral presentations, and posters, and will attract not only academic researchers and librarians but also decision makers from governments and practical sectors.} {artifical intelligence,informetrics,knowledge entity evaluation,knowledge entity extraction} {artifical intelligence,informetrics,knowledge entity evaluation,knowledge entity extraction}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Insider stories: analyzing internal sustainability efforts of major US companies from online reviews,"{It is hard to establish whether a company supports internal sustainability efforts (ISEs) like gender equality, diversity, and general staff welfare, not least because of a lack of methodologies operationalizing these internal sustainability practices, and of data honestly documenting such efforts. We developed and validated a six-dimension framework reflecting Internal Sustainability Efforts (ISEs), gathered more than 350K employee reviews of 104 major companies across the whole US for the (2008-2020) years, and developed a deep-learning framework scoring these reviews in terms of the six ISEs. Commitment to ISEs manifested itself at the micro-level—companies scoring high in ISEs enjoyed high stock growth. This new conceptualization of ISEs offers both theoretical implications for the literature on corporate sustainability and practical implications for companies and policy makers. To further explore these implications, researchers need to add potentially missing ISEs, to do so for more companies, and establish the causal relationship between company success and ISEs.}",2023,Humanities and Social Sciences Communications,,Psychology (all),,,OTHER,2023,"insider stories: analyzing internal sustainability efforts of major us companies from online reviews {it is hard to establish whether a company supports internal sustainability efforts (ises) like gender equality, diversity, and general staff welfare, not least because of a lack of methodologies operationalizing these internal sustainability practices, and of data honestly documenting such efforts. we developed and validated a six-dimension framework reflecting internal sustainability efforts (ises), gathered more than 350k employee reviews of 104 major companies across the whole us for the (2008-2020) years, and developed a deep-learning framework scoring these reviews in terms of the six ises. commitment to ises manifested itself at the micro-level—companies scoring high in ises enjoyed high stock growth. this new conceptualization of ises offers both theoretical implications for the literature on corporate sustainability and practical implications for companies and policy makers. to further explore these implications, researchers need to add potentially missing ises, to do so for more companies, and establish the causal relationship between company success and ises.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Toxic comments are associated with reduced activity of volunteer editors on Wikipedia,"{Wikipedia is one of the most successful collaborative projects in history. It is the largest encyclopedia ever created, with millions of users worldwide relying on it as the first source of information as well as for fact-checking and in-depth research. As Wikipedia relies solely on the efforts of its volunteer editors, its success might be particularly affected by toxic speech. In this paper, we analyze all 57 million comments made on user talk pages of 8.5 million editors across the six most active language editions of Wikipedia to study the potential impact of toxicity on editors' behavior. We find that toxic comments are consistently associated with reduced activity of editors, equivalent to 0.5-2 active days per user in the short term. This translates to multiple human-years of lost productivity, considering the number of active contributors to Wikipedia. The effects of toxic comments are potentially even greater in the long term, as they are associated with a significantly increased risk of editors leaving the project altogether. Using an agent-based model, we demonstrate that toxicity attacks on Wikipedia have the potential to impede the progress of the entire project. Our results underscore the importance of mitigating toxic speech on collaborative platforms such as Wikipedia to ensure their continued success.}",2023,PNAS Nexus,,Multidisciplinary,Multidisciplinary,Multidisciplinary,OTHER,2023,"toxic comments are associated with reduced activity of volunteer editors on wikipedia {wikipedia is one of the most successful collaborative projects in history. it is the largest encyclopedia ever created, with millions of users worldwide relying on it as the first source of information as well as for fact-checking and in-depth research. as wikipedia relies solely on the efforts of its volunteer editors, its success might be particularly affected by toxic speech. in this paper, we analyze all 57 million comments made on user talk pages of 8.5 million editors across the six most active language editions of wikipedia to study the potential impact of toxicity on editors' behavior. we find that toxic comments are consistently associated with reduced activity of editors, equivalent to 0.5-2 active days per user in the short term. this translates to multiple human-years of lost productivity, considering the number of active contributors to wikipedia. the effects of toxic comments are potentially even greater in the long term, as they are associated with a significantly increased risk of editors leaving the project altogether. using an agent-based model, we demonstrate that toxicity attacks on wikipedia have the potential to impede the progress of the entire project. our results underscore the importance of mitigating toxic speech on collaborative platforms such as wikipedia to ensure their continued success.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Insider stories: analyzing internal sustainability efforts of major US companies from online reviews,"{It is hard to establish whether a company supports internal sustainability efforts (ISEs) like gender equality, diversity, and general staff welfare, not least because of a lack of methodologies operationalizing these internal sustainability practices, and of data honestly documenting such efforts. We developed and validated a six-dimension framework reflecting Internal Sustainability Efforts (ISEs), gathered more than 350K employee reviews of 104 major companies across the whole US for the (2008-2020) years, and developed a deep-learning framework scoring these reviews in terms of the six ISEs. Commitment to ISEs manifested itself at the micro-level—companies scoring high in ISEs enjoyed high stock growth. This new conceptualization of ISEs offers both theoretical implications for the literature on corporate sustainability and practical implications for companies and policy makers. To further explore these implications, researchers need to add potentially missing ISEs, to do so for more companies, and establish the causal relationship between company success and ISEs.}",2023,Humanities and Social Sciences Communications,,"Economics, Econometrics and Finance (all)",,,OTHER,2023,"insider stories: analyzing internal sustainability efforts of major us companies from online reviews {it is hard to establish whether a company supports internal sustainability efforts (ises) like gender equality, diversity, and general staff welfare, not least because of a lack of methodologies operationalizing these internal sustainability practices, and of data honestly documenting such efforts. we developed and validated a six-dimension framework reflecting internal sustainability efforts (ises), gathered more than 350k employee reviews of 104 major companies across the whole us for the (2008-2020) years, and developed a deep-learning framework scoring these reviews in terms of the six ises. commitment to ises manifested itself at the micro-level—companies scoring high in ises enjoyed high stock growth. this new conceptualization of ises offers both theoretical implications for the literature on corporate sustainability and practical implications for companies and policy makers. to further explore these implications, researchers need to add potentially missing ises, to do so for more companies, and establish the causal relationship between company success and ises.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Intersectionalities and im/mobilities in family and marriage: a comparative study of Germany and India,"{This article investigates comparative intersections of gender and family sociology internationally, with a specific focus on urban Germany and urban India. In particular, this research examines a central dynamic that informs family and marriage relations globally, and for this research context, in Germany and India: What are the nuanced ways of conceptualizing changing gender roles in marriage and in family in Germany and India? Bringing together a robust understanding of the theoretical frameworks of Intersectionality and of Mobility as large bodies of scholarship that examine geographic and symbolic power geometries, we adopt the lens of Intersectional Im/Mobilities to explore changing gender roles in family and marriage in Germany and India. We particularly focus on an intersectionality-based analysis of two primary themes that arise out of our primary and secondary data: (1) Women’s employment and impact on family life/work–life balance; and (2) Changing gender roles in marriage (through the lens of the division of household labor and aspects of agency and decision making), questions which influence and inflect complex intersectional realities.}",2024,Humanities and Social Sciences Communications,,"Economics, Econometrics and Finance (all)",,,OTHER,2024,"intersectionalities and im/mobilities in family and marriage: a comparative study of germany and india {this article investigates comparative intersections of gender and family sociology internationally, with a specific focus on urban germany and urban india. in particular, this research examines a central dynamic that informs family and marriage relations globally, and for this research context, in germany and india: what are the nuanced ways of conceptualizing changing gender roles in marriage and in family in germany and india? bringing together a robust understanding of the theoretical frameworks of intersectionality and of mobility as large bodies of scholarship that examine geographic and symbolic power geometries, we adopt the lens of intersectional im/mobilities to explore changing gender roles in family and marriage in germany and india. we particularly focus on an intersectionality-based analysis of two primary themes that arise out of our primary and secondary data: (1) women’s employment and impact on family life/work–life balance; and (2) changing gender roles in marriage (through the lens of the division of household labor and aspects of agency and decision making), questions which influence and inflect complex intersectional realities.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Inductive Reasoning Renewed: A Reply to Commentators,"{The IRM provides a simple and flexible framework for the study of the social-perceptual phenomena of self-enhancement, intergroup accentuation, ingroup-favoritism, and differential accuracy of group perception, as well as the interdependencies of these phenomena. The commentaries on the target article (Krueger and colleagues) point to opportunities to further develop the model and to situate it in the context of contemporary theory and research in social and cognitive psychology. We address several critical issues of concern in this rejoinder. We organize our arguments along four themes of discussion: the model’s coherence, validity, sufficiency, and its timeliness. We close by suggesting that the IRM, beyond its proper domain of applicability represents a way of thinking about social perception characterized by parsimonious assumptions and precise predictions.}",2024,Psychological Inquiry,,Psychology (all),,,OTHER,2024,"inductive reasoning renewed: a reply to commentators {the irm provides a simple and flexible framework for the study of the social-perceptual phenomena of self-enhancement, intergroup accentuation, ingroup-favoritism, and differential accuracy of group perception, as well as the interdependencies of these phenomena. the commentaries on the target article (krueger and colleagues) point to opportunities to further develop the model and to situate it in the context of contemporary theory and research in social and cognitive psychology. we address several critical issues of concern in this rejoinder. we organize our arguments along four themes of discussion: the model’s coherence, validity, sufficiency, and its timeliness. we close by suggesting that the irm, beyond its proper domain of applicability represents a way of thinking about social perception characterized by parsimonious assumptions and precise predictions.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
For values in science: Assessing recent arguments for the ideal of value-free science,"{There is a near consensus among philosophers of science whose research focuses on science and values that the ideal of value-free science is untenable, and that science not only is, but normatively must be, value-laden in some respect. The consensus is far from complete; with some regularity, defenses of the value-free ideal (VFI) as well as critiques of major arguments against the VFI surface in the literature. I review and respond to many of the recent defenses of the VFI and show that they generally fail to meet the mark. In the process, I articulate what the current burden of argument for a defense of the VFI ought to be, given the state of the literature.}",2024,Synthese,,Social Sciences (all),,,OTHER,2024,"for values in science: assessing recent arguments for the ideal of value-free science {there is a near consensus among philosophers of science whose research focuses on science and values that the ideal of value-free science is untenable, and that science not only is, but normatively must be, value-laden in some respect. the consensus is far from complete; with some regularity, defenses of the value-free ideal (vfi) as well as critiques of major arguments against the vfi surface in the literature. i review and respond to many of the recent defenses of the vfi and show that they generally fail to meet the mark. in the process, i articulate what the current burden of argument for a defense of the vfi ought to be, given the state of the literature.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Toward a causal model of curiosity and creativity,{We extend Ivancovsky et al.'s finding on the association between curiosity and creativity by proposing a sequential causal model assuming that (a) curiosity determines the motivation to seek information and that (b) creativity constitutes a capacity to act on that motivation. This framework assumes that both high levels of curiosity and creativity are necessary for information-seeking behavior.},2024,Behavioral and Brain Sciences,,Physiology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,OTHER,2024,toward a causal model of curiosity and creativity {we extend ivancovsky et al.'s finding on the association between curiosity and creativity by proposing a sequential causal model assuming that (a) curiosity determines the motivation to seek information and that (b) creativity constitutes a capacity to act on that motivation. this framework assumes that both high levels of curiosity and creativity are necessary for information-seeking behavior.},-1,0.0,"germany, ontology, marriage, networks, multilingual"
Gender-Based Homophily in International Research Collaborations,"{Women researchers in postdoc career stages still do not participate to the same extent in international academic mobility as men do. As a novel approach to better understand gender inequalities in international academic mobility, we investigate the structure of research collaborations and bring into focus the host researchers. Our central theoretical tool is the distinction between compositional and behavioral homophily. Using quantitative data from two German Humboldt Foundation programs sponsoring collaborations between international researchers and academic hosts in Germany, we ask (a) to what extent are gender-homophilous research collaborations caused by compositional or behavioral homophily; (b) what factors influence gender-based homophily; and (c) whether men or women tend more towards gender-homophilous collaborations. We detected behavioral homophily in research collaborations mainly when taking the potential pool of eligible women researchers as the reference group. The results on influencing factors are ambiguous and need further investigation. Furthermore, our results show that men tended more towards gender-homophilous collaborations than women. Our results suggest that gender inequalities in international academic mobility are linked to behavioral homophily and that exploring the role of host researchers is crucial to understanding—and overcoming—the under-representation of women in international academic mobility.}",2024,Social Sciences,"{gender homophily,gender inequalities,international academic mobility,international research collaboration}",Social Sciences (all),,,OTHER,2024,"gender-based homophily in international research collaborations {women researchers in postdoc career stages still do not participate to the same extent in international academic mobility as men do. as a novel approach to better understand gender inequalities in international academic mobility, we investigate the structure of research collaborations and bring into focus the host researchers. our central theoretical tool is the distinction between compositional and behavioral homophily. using quantitative data from two german humboldt foundation programs sponsoring collaborations between international researchers and academic hosts in germany, we ask (a) to what extent are gender-homophilous research collaborations caused by compositional or behavioral homophily; (b) what factors influence gender-based homophily; and (c) whether men or women tend more towards gender-homophilous collaborations. we detected behavioral homophily in research collaborations mainly when taking the potential pool of eligible women researchers as the reference group. the results on influencing factors are ambiguous and need further investigation. furthermore, our results show that men tended more towards gender-homophilous collaborations than women. our results suggest that gender inequalities in international academic mobility are linked to behavioral homophily and that exploring the role of host researchers is crucial to understanding—and overcoming—the under-representation of women in international academic mobility.} {gender homophily,gender inequalities,international academic mobility,international research collaboration} {gender homophily,gender inequalities,international academic mobility,international research collaboration}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Basic human values and the adoption of cryptocurrency,"{Cryptocurrency is an attempt to create an alternative to centralized financial systems using blockchain technology. However, our understanding of the psychological mechanisms that drive cryptocurrency adoption is limited. This study examines the role of basic human values in three stages of cryptocurrency adoption–awareness, intention to buy, and ownership–using the Theory of Planned Behavior (TPB). Logistic regression analysis was conducted on a quota sample of 714 German adults, and the results showed that openness-to-change values increased the likelihood of cryptocurrency awareness, while self-enhancement values increased the likelihood of intention to buy and ownership. These findings were consistent even after controlling for demographic characteristics, attitudinal beliefs, and perceived behavioral control, which are important factors in the TPB. The results suggest that basic human values may influence an individual’s decision to adopt cryptocurrency, but the transition from awareness to ownership may be influenced by socio-economic opportunities available to interested individuals.}",2024,Frontiers in Psychology,"{basic human values,cryptocurrency adoption,inequalities,logit regression analysis,theory of planned behavior}",Psychology (all),,,OTHER,2024,"basic human values and the adoption of cryptocurrency {cryptocurrency is an attempt to create an alternative to centralized financial systems using blockchain technology. however, our understanding of the psychological mechanisms that drive cryptocurrency adoption is limited. this study examines the role of basic human values in three stages of cryptocurrency adoption–awareness, intention to buy, and ownership–using the theory of planned behavior (tpb). logistic regression analysis was conducted on a quota sample of 714 german adults, and the results showed that openness-to-change values increased the likelihood of cryptocurrency awareness, while self-enhancement values increased the likelihood of intention to buy and ownership. these findings were consistent even after controlling for demographic characteristics, attitudinal beliefs, and perceived behavioral control, which are important factors in the tpb. the results suggest that basic human values may influence an individual’s decision to adopt cryptocurrency, but the transition from awareness to ownership may be influenced by socio-economic opportunities available to interested individuals.} {basic human values,cryptocurrency adoption,inequalities,logit regression analysis,theory of planned behavior} {basic human values,cryptocurrency adoption,inequalities,logit regression analysis,theory of planned behavior}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Emergence of group size disparity in growing networks with adoption,"{Social and technical networks undergo constant evolution driven by both existing entities and newcomers. In academia, research papers are continually cited by new papers, while senior researchers integrate newly arrived junior researchers into their academic networks. Moreover, social systems can be influenced by external factors that could indirectly impact their growth patterns. For instance, systematic discrimination against certain groups in academia or managerial positions can impede their long-term growth, especially when combined with group-level preferences in hiring or adoption, as observed in our study. To address this, we introduce a network growth and adoption model where generalised preferential attachment and asymmetric mixing act as the two fundamental mechanisms of growth and adoption. We show analytically and numerically that these mechanisms can recover the empirical properties of citation and collaboration growth, as well as the inequalities observed in the growth dynamics of groups. This model can be used to investigate the effect of intervention in group mixing preferences to overcome the cumulative disparities in the group-level dynamics.}",2024,Communications Physics,,Physics and Astronomy (all),,,OTHER,2024,"emergence of group size disparity in growing networks with adoption {social and technical networks undergo constant evolution driven by both existing entities and newcomers. in academia, research papers are continually cited by new papers, while senior researchers integrate newly arrived junior researchers into their academic networks. moreover, social systems can be influenced by external factors that could indirectly impact their growth patterns. for instance, systematic discrimination against certain groups in academia or managerial positions can impede their long-term growth, especially when combined with group-level preferences in hiring or adoption, as observed in our study. to address this, we introduce a network growth and adoption model where generalised preferential attachment and asymmetric mixing act as the two fundamental mechanisms of growth and adoption. we show analytically and numerically that these mechanisms can recover the empirical properties of citation and collaboration growth, as well as the inequalities observed in the growth dynamics of groups. this model can be used to investigate the effect of intervention in group mixing preferences to overcome the cumulative disparities in the group-level dynamics.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Uncovering latent profiles of ICT self-concept among adults in Germany and their relation with gender,"{Self-concept related to the use of information and communication technology (ICT-SC) is reflected in how people feel and behave when confronted with digital technologies. Although evidence from variable-centered analyses suggests a hierarchical and multidimensional structure of ICT-SC in heterogeneous populations, it is not yet known whether different profiles of general ICT-SC and specific ICT-SC domains (communicate, process and store, generate content, safe application, solve problems) exist. This study aims to extend previous research using person-centered analyses and to examine whether different profiles of ICT-SC can be identified in a heterogeneous adult population (18–69 years) from Germany and how these profiles relate to gender. Results of a latent profile analysis (German quota sample, N = 369) indicate a reliable three-profile solution. Profile I (n = 48) is characterised by rather low ICT-SC with relative profile strengths in the verbal-interactive domains (communicate, process and store). Profile II (n = 149) is characterised by low to average ICT-SC across ICT-SC domains. Profile III (n = 172) is characterised by high ICT-SC with profile strengths in the technical-analytical domains (safe application, solve problems). Gender did not correlate significantly with profile membership. We discuss the practical implications of the results for ICT-SC interventions and suggest directions for future research.}",2024,Behaviour and Information Technology,"{digcomp,gender differences,ict competence,ict self-concept,latent profile analysis}",Social Sciences (all),,,OTHER,2024,"uncovering latent profiles of ict self-concept among adults in germany and their relation with gender {self-concept related to the use of information and communication technology (ict-sc) is reflected in how people feel and behave when confronted with digital technologies. although evidence from variable-centered analyses suggests a hierarchical and multidimensional structure of ict-sc in heterogeneous populations, it is not yet known whether different profiles of general ict-sc and specific ict-sc domains (communicate, process and store, generate content, safe application, solve problems) exist. this study aims to extend previous research using person-centered analyses and to examine whether different profiles of ict-sc can be identified in a heterogeneous adult population (18–69 years) from germany and how these profiles relate to gender. results of a latent profile analysis (german quota sample, n = 369) indicate a reliable three-profile solution. profile i (n = 48) is characterised by rather low ict-sc with relative profile strengths in the verbal-interactive domains (communicate, process and store). profile ii (n = 149) is characterised by low to average ict-sc across ict-sc domains. profile iii (n = 172) is characterised by high ict-sc with profile strengths in the technical-analytical domains (safe application, solve problems). gender did not correlate significantly with profile membership. we discuss the practical implications of the results for ict-sc interventions and suggest directions for future research.} {digcomp,gender differences,ict competence,ict self-concept,latent profile analysis} {digcomp,gender differences,ict competence,ict self-concept,latent profile analysis}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Peace in other primates,"{We elaborate on Glowacki's claim that humans are more capable of establishing peace than other mammals. We present three aspects suggesting caution. First, the social capabilities of nonhuman primates should not be underestimated. Second, the effect of these capabilities on peace establishment is nonmonotonous. Third, defining peace by human-centered values introduces a fallacy.}",2024,Behavioral and Brain Sciences,,Physiology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,OTHER,2024,"peace in other primates {we elaborate on glowacki's claim that humans are more capable of establishing peace than other mammals. we present three aspects suggesting caution. first, the social capabilities of nonhuman primates should not be underestimated. second, the effect of these capabilities on peace establishment is nonmonotonous. third, defining peace by human-centered values introduces a fallacy.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Intersectionalities and im/mobilities in family and marriage: a comparative study of Germany and India,"{This article investigates comparative intersections of gender and family sociology internationally, with a specific focus on urban Germany and urban India. In particular, this research examines a central dynamic that informs family and marriage relations globally, and for this research context, in Germany and India: What are the nuanced ways of conceptualizing changing gender roles in marriage and in family in Germany and India? Bringing together a robust understanding of the theoretical frameworks of Intersectionality and of Mobility as large bodies of scholarship that examine geographic and symbolic power geometries, we adopt the lens of Intersectional Im/Mobilities to explore changing gender roles in family and marriage in Germany and India. We particularly focus on an intersectionality-based analysis of two primary themes that arise out of our primary and secondary data: (1) Women’s employment and impact on family life/work–life balance; and (2) Changing gender roles in marriage (through the lens of the division of household labor and aspects of agency and decision making), questions which influence and inflect complex intersectional realities.}",2024,Humanities and Social Sciences Communications,,"Business, Management and Accounting (all)",,,OTHER,2024,"intersectionalities and im/mobilities in family and marriage: a comparative study of germany and india {this article investigates comparative intersections of gender and family sociology internationally, with a specific focus on urban germany and urban india. in particular, this research examines a central dynamic that informs family and marriage relations globally, and for this research context, in germany and india: what are the nuanced ways of conceptualizing changing gender roles in marriage and in family in germany and india? bringing together a robust understanding of the theoretical frameworks of intersectionality and of mobility as large bodies of scholarship that examine geographic and symbolic power geometries, we adopt the lens of intersectional im/mobilities to explore changing gender roles in family and marriage in germany and india. we particularly focus on an intersectionality-based analysis of two primary themes that arise out of our primary and secondary data: (1) women’s employment and impact on family life/work–life balance; and (2) changing gender roles in marriage (through the lens of the division of household labor and aspects of agency and decision making), questions which influence and inflect complex intersectional realities.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Integrating knowledge into conversational agents for worker upskilling,"{The labor market is a key part of an economy. Several existing online platforms allow the upload of resumes and the search for a job. One of their limitations, however, is that obtaining the best opportunity can be hard because certain jobs need some experiences, abilities, and features that an applicant might not know. The recent diffusion and employment of conversational agents definitely have proven to benefit this kind of issue. For example, ChatGPT has shown impressive outcomes in different domains and for a variety of tasks. It has weaknesses, although, related to the veracity of the responses it generates, which might deceive the user interacting with it. The usage of external domain knowledge is the direction we suggest in this chapter. Several lexical databases and taxonomies have already been collected and designed by different organizations. We illustrate a list of such resources and provide a solution that integrates conversational agents with relevant information extracted from one of such resources showing the benefits and the impact that our proposal can generate.}",2024,"Artificial Intelligence in Manufacturing: Enabling Intelligent, Flexible and Cost-Effective Production Through AI","{conversational agents,labor market,natural language processing,occupational databas,semantic web}",Engineering (all),,,OTHER,2024,"integrating knowledge into conversational agents for worker upskilling {the labor market is a key part of an economy. several existing online platforms allow the upload of resumes and the search for a job. one of their limitations, however, is that obtaining the best opportunity can be hard because certain jobs need some experiences, abilities, and features that an applicant might not know. the recent diffusion and employment of conversational agents definitely have proven to benefit this kind of issue. for example, chatgpt has shown impressive outcomes in different domains and for a variety of tasks. it has weaknesses, although, related to the veracity of the responses it generates, which might deceive the user interacting with it. the usage of external domain knowledge is the direction we suggest in this chapter. several lexical databases and taxonomies have already been collected and designed by different organizations. we illustrate a list of such resources and provide a solution that integrates conversational agents with relevant information extracted from one of such resources showing the benefits and the impact that our proposal can generate.} {conversational agents,labor market,natural language processing,occupational databas,semantic web} {conversational agents,labor market,natural language processing,occupational databas,semantic web}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Measuring Intellectual Curiosity across Cultures: Validity and Comparability of a New Scale in Six Languages,"{Intellectual curiosity—the tendency to seek out and engage in opportunities for effortful cognitive activity—is a crucial construct in educational research and beyond. Measures of intellectual curiosity vary widely in psychometric quality, and few measures have demonstrated validity and comparability of scores across multiple languages. We analyzed a novel, six-item intellectual curiosity scale (ICS) originally developed for cross-national comparisons in the context of the OECD’s Programme for the International Assessment of Adult Competencies (PIAAC). Samples from six countries representing six national languages (U.S. Germany, France, Spain, Poland, and Japan; total N = 5,557) confirmed that the ICS possesses very good psychometric properties. The scale is essentially unidimensional and showed excellent reliability estimates. On top of factorial validity, the scale demonstrated strict measurement invariance across demographic segments (gender, age groups, and educational strata) and at least partial scalar invariance across countries. As per its convergent and divergent associations with a broad range of constructs (e.g., Open-Mindedness and other Big Five traits, Perseverance, Sensation Seeking, Job Orientations, and Vocational Interests), it also showed convincing construct validity. Given its internal and external relationships, we recommend the ICS for assessing intellectual curiosity, especially in cross-cultural research applications, yet we also point out future research areas.}",2024,Journal of Personality Assessment,,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,OTHER,2024,"measuring intellectual curiosity across cultures: validity and comparability of a new scale in six languages {intellectual curiosity—the tendency to seek out and engage in opportunities for effortful cognitive activity—is a crucial construct in educational research and beyond. measures of intellectual curiosity vary widely in psychometric quality, and few measures have demonstrated validity and comparability of scores across multiple languages. we analyzed a novel, six-item intellectual curiosity scale (ics) originally developed for cross-national comparisons in the context of the oecd’s programme for the international assessment of adult competencies (piaac). samples from six countries representing six national languages (u.s. germany, france, spain, poland, and japan; total n = 5,557) confirmed that the ics possesses very good psychometric properties. the scale is essentially unidimensional and showed excellent reliability estimates. on top of factorial validity, the scale demonstrated strict measurement invariance across demographic segments (gender, age groups, and educational strata) and at least partial scalar invariance across countries. as per its convergent and divergent associations with a broad range of constructs (e.g., open-mindedness and other big five traits, perseverance, sensation seeking, job orientations, and vocational interests), it also showed convincing construct validity. given its internal and external relationships, we recommend the ics for assessing intellectual curiosity, especially in cross-cultural research applications, yet we also point out future research areas.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Intersectionalities and im/mobilities in family and marriage: a comparative study of Germany and India,"{This article investigates comparative intersections of gender and family sociology internationally, with a specific focus on urban Germany and urban India. In particular, this research examines a central dynamic that informs family and marriage relations globally, and for this research context, in Germany and India: What are the nuanced ways of conceptualizing changing gender roles in marriage and in family in Germany and India? Bringing together a robust understanding of the theoretical frameworks of Intersectionality and of Mobility as large bodies of scholarship that examine geographic and symbolic power geometries, we adopt the lens of Intersectional Im/Mobilities to explore changing gender roles in family and marriage in Germany and India. We particularly focus on an intersectionality-based analysis of two primary themes that arise out of our primary and secondary data: (1) Women’s employment and impact on family life/work–life balance; and (2) Changing gender roles in marriage (through the lens of the division of household labor and aspects of agency and decision making), questions which influence and inflect complex intersectional realities.}",2024,Humanities and Social Sciences Communications,,Psychology (all),,,OTHER,2024,"intersectionalities and im/mobilities in family and marriage: a comparative study of germany and india {this article investigates comparative intersections of gender and family sociology internationally, with a specific focus on urban germany and urban india. in particular, this research examines a central dynamic that informs family and marriage relations globally, and for this research context, in germany and india: what are the nuanced ways of conceptualizing changing gender roles in marriage and in family in germany and india? bringing together a robust understanding of the theoretical frameworks of intersectionality and of mobility as large bodies of scholarship that examine geographic and symbolic power geometries, we adopt the lens of intersectional im/mobilities to explore changing gender roles in family and marriage in germany and india. we particularly focus on an intersectionality-based analysis of two primary themes that arise out of our primary and secondary data: (1) women’s employment and impact on family life/work–life balance; and (2) changing gender roles in marriage (through the lens of the division of household labor and aspects of agency and decision making), questions which influence and inflect complex intersectional realities.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
