Topic,Words,Frequency,Timestamp
21,"fact checking, biases, landscape, knowledge graphs, transformer based",4,2024
22,"computer science, career, discrimination, growth, women men",6,2024
23,"violence, mobility, higher education, inequalities, europe",5,2024
24,"gaps, skills, women, social media, underrepresented",8,2024
25,"probability based, experience, different levels, waves, effects panel",4,2024
26,"migration, questionnaire, type, general population, crucial role",1,2024
27,"split, questionnaire, machine, team, languages",8,2024
28,"item nonresponse, memory, machine learning, panel, survival",6,2024
29,"content, political attitudes, web tracking, european union, tweets",8,2024
30,"class, regional, factorial, unemployment, long term",6,2024
31,"labour, differences, germany, discrimination, migration",5,2024
32,"variable, knowledge graph, social media, pipelines, named entity recognition",5,2024
33,"interaction, multilingual, communities, knowledge graphs, journalism",9,2024
34,"chapter, processes, east west germany, changes, political attitudes",12,2024
35,"national, elite, parties, immigration, half",5,2024
36,"fake, news, named entity recognition, deep learning, machine",7,2024
37,"classification, quality indicators, machine learning, text, pretesting",6,2024
38,"named entity recognition, recommendation, natural language processing, graph, scientific community",6,2024
39,"web, behavioral, mass, satisfaction, past",5,2024
40,"strength, food, randomized, factor, efficacy",1,2024
41,"learning models, entities, energy, citizenship, task",8,2024
42,"workshop, retrieval, natural language processing, 2024, communities",6,2024
43,"interviewer, mixed mode, face, self administered, rates",11,2024
44,"real, computational social science, web tracking, little attention, record",8,2024
45,"media, credibility, perspective, conducted germany, higher levels",5,2024
47,"mixed mode, questionnaire, face, measurement invariance, difference",3,2024
48,"profile, competence, heterogeneous, health related, search engines",6,2024
49,"search engines, engines, election, 2020, diversity",6,2024
50,"competition, party, democracies, germany, election",4,2024
51,"tweets, argument mining, network, polarization, classifier",7,2024
-1,"polarization, german, reliability, government, refugees",72,2025
0,"migration, election, effects, germany, facebook",14,2025
1,"europe, multi level, time, electoral, life satisfaction",11,2025
2,"pandemic, cohort, network, uncertainty, education",10,2025
3,"social media, metadata, scientific publications, uncertainty, actors",16,2025
4,"language models llms, conversational, google, difference, extraction",3,2025
5,"populist, multilevel, right wing, climate, perception",11,2025
6,"similarity, benchmark, open science, computational social science, behavioural",13,2025
7,"network, family, optimization, linking, preference",13,2025
8,"artificial intelligence, past, scenarios, context, belief",6,2025
9,"facebook, behavioral, platforms, smartphones, standards",9,2025
10,"face, heterogeneous, metadata, machine learning, knowledge graphs",3,2025
11,"children, germany, refugees, integration, socioeconomic",11,2025
12,"personality traits, associations, school, openness, effects",8,2025
13,"web, label, closed, pretesting, questionnaire",8,2025
15,"effects, driven, messages, perceptions, political communication",6,2025
16,"coverage, climate, political parties, social media, misinformation",8,2025
17,"adolescents, literacy, inequalities, emotional, categories",12,2025
18,"driving, cross cultural, younger, measurement invariance, vote choice",11,2025
19,"digital trace, reuse, open science, projects, ethical",5,2025
20,"unemployment, health, long term, covid 19 pandemic, european countries",4,2025
21,"fact checking, web, teams, robustness, language models",5,2025
22,"bias, online, speech, gap, detection",4,2025
23,"violence, europe, higher education, inequalities, staff",13,2025
24,"accuracy, gaps, language models, 75, exploiting",6,2025
25,"inclusion, probability based, mixed mode panel, population, sampled",7,2025
26,"testing, response behavior, participate, families, companies",6,2025
27,"translation, questionnaire, literacy, web, item nonresponse",1,2025
28,"inference, nonresponse, distribution, trajectories, machine learning",2,2025
29,"political knowledge, web tracking, female, predictive, sociodemographic",3,2025
30,"welfare, multilevel, preferences, vignette experiment, european union",4,2025
31,"remain, vocational, germany, levels, likelihood",1,2025
32,"heterogeneous, knowledge graphs, extraction, scientific publications, contextual",4,2025
33,"hybrid, journalism, knowledge graphs, fact checking, web",5,2025
34,"religious, transformation, immigrants, threat, germany",1,2025
35,"immigration, vote choice, individual level, right wing, news articles",6,2025
36,"languages, fake, named entity recognition, low, learning models",5,2025
39,"memory, smartphones, occupational, temporal, tested",1,2025
40,"binary, primary, regression, performance, machine learning",9,2025
42,"workshop, natural language processing, access, investigated, 2025",2,2025
43,"face, self administered, mixed mode, interviewer, randomly",1,2025
44,"news, filter, web browsing, correlates, metric",4,2025
46,"language models, benchmarks, training, zero, open source",5,2025
47,"panel, face, response behavior, probability based, difference",4,2025
48,"digital, cohort, germany, web tracking, aged",2,2025
49,"age, natural language processing, engines, reduces, social media platforms",3,2025
50,"democratic, poland, vignette experiment, 2024, dimensions",7,2025
51,"polarization, covid 19, social media platforms, public discourse, argument mining",4,2025
-1,"security, misinformation, climate, health related, preregistered",3,2026
4,"user, search, language models llms, analysed, partner",2,2026
