Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,LLM_Label,LLM_Labels
92,similarity_detection_graphs_named entity recognition_language models,"[3, 4, 6, 7, 10, 32, 36, 38, 42, 46]",58,graph_network_sentiment_domain_classification,89,retrieval_knowledge graphs_language models_named entity recognition_benchmark,0.9873924755194924,knowledge graphs and language models,knowledge graphs and language models; scientific text mining and analysis; open science and scholarly communication
91,management_facebook_web tracking_exposure_political knowledge,"[9, 19, 29, 39, 44, 48]",64,facebook_digital trace_linkage_reuse_social science,80,web tracking_political knowledge_exposure_real_using,0.9597851679795956,digital trace data in social science,digital trace data in social science; web tracking and behavioral analysis; measurement and data quality frameworks
90,family_personality_germany_welfare_class,"[11, 12, 17, 30, 31]",55,personality_literacy_vocational_adolescents_differences,74,parental_welfare_germany_differences_labour,0.9572541962509594,social and economic inequalities,"social and economic inequalities; education, welfare, and labor transitions; intergenerational mobility and social integration"
89,retrieval_knowledge graphs_language models_named entity recognition_benchmark,"[3, 4, 6, 10, 32, 36, 42, 46]",73,knowledge graphs_open science_heterogeneous_machine learning_pipeline,87,retrieval_named entity recognition_workshop_llms_large language models,0.9435188879981852,open science and reproducibility practices,open science and reproducibility practices; knowledge extraction and language models; fake news detection and named entity recognition
88,ended_questionnaire_german_parliamentary_uncertainty,"[1, 8, 13, 27, 34, 40]",83,uncertainty_belief_questionnaire_integrating_german language,86,closed_elections_processes_german_level,0.9270694932319468,survey translation and harmonization,survey translation and harmonization; open-ended question methodology; german unification and social change
87,retrieval_named entity recognition_workshop_llms_large language models,"[3, 4, 36, 42, 46]",82,fake_named entity recognition_learning_social media_publishing,60,extraction_knowledge graph_user_language models llms_performance,0.9109799752877592,language models for scholarly text,language models for scholarly text; bibliometric-enhanced information retrieval; fake news and entity recognition
86,closed_elections_processes_german_level,"[1, 13, 34, 40]",71,closed_elections_quality_reduction_distributed,81,chapter_war_east west germany_algorithms_differences,0.9066046991821988,survey methodology and data harmonization,survey methodology and data harmonization; open-ended questions and cognitive testing; comparative social science research
85,identity_elections_migration_germany_public opinion,"[0, 5, 15, 35, 50]",35,voting_immigration_media_right wing_individual level,75,migration_electoral_germany_public opinion_preferences,0.8982944923662042,right-wing politics and democracy,right-wing politics and democracy; national identity and voting behavior; authoritarianism and political attitudes
84,violence_bias_women_speech_organizations,"[18, 22, 23, 24]",22,speech_cohorts_discrimination_computer science_career,76,violence_diversity_women_driving_age,0.894090215998728,gender bias and discrimination,gender bias and discrimination; intersectionality in higher education; algorithmic fairness and language models
83,uncertainty_belief_questionnaire_integrating_german language,"[8, 27]",8,uncertainty_adaptation_artificial intelligence_german language_comparability,27,questionnaire_multilingual_errors_machine_german,0.8883777497071215,Multilingual survey translation methods,Multilingual survey translation methods; AI and uncertainty in decision-making; Cross-cultural questionnaire adaptation
82,fake_named entity recognition_learning_social media_publishing,"[3, 36, 42]",42,workshop_retrieval_event_natural language processing_digital,65,fake_named entity recognition_media_corpus_deep learning,0.885674904382193,Scholarly text mining and analysis,Scholarly text mining and analysis; Fake news detection in social media; Bibliometrics and information retrieval
81,chapter_war_east west germany_algorithms_differences,"[34, 40]",40,equivalence_regression_primary_performance_package,34,chapter_war_east west germany_changes_mental,0.8779612936973743,German unification and transformation,German unification and transformation; Bayesian methods in comparative research; Quantification and equivalence analysis
80,web tracking_political knowledge_exposure_real_using,"[29, 39, 44, 48]",72,profile_memory_web tracking_prevalence_behavioral,66,content_web tracking_political attitudes_detect_time,0.8620001246353833,web tracking and behavioral data,web tracking and behavioral data; computational social science methods; digital trace analysis in society
79,fact checking_discourse_mining_tweets_knowledge graphs,"[21, 33, 51]",51,tweets_polarization_argument mining_network_classifier,62,fact checking_online_tasks_knowledge graphs_landscape,0.8600817127562448,online discourse analysis and fact-checking,online discourse analysis and fact-checking; argument mining in social media; misinformation detection and network analysis
78,mixed mode_recruitment_probability based_online panel_mail,"[14, 25, 26, 43, 47]",68,recruitment_probability based_mixed mode_online panel_waves,56,face_mixed mode_panel_questionnaire_wave,0.8575733650617362,mixed-mode panel survey methodology,mixed-mode panel survey methodology; probability-based panel recruitment strategies; survey mode design and participation
77,crisis_trust_social media_misinformation_election,"[16, 45, 49]",49,search engines_familiarity_political science_open science_transformer,59,political_security_misinformation_social media_climate,0.8525428296015495,digital media trust and privacy,"digital media trust and privacy; news credibility and political communication; social media, search, and journalism"
76,violence_diversity_women_driving_age,"[18, 23, 24]",70,violence_diversity_age_europe_higher education,24,gaps_domain_language models_women_training,0.8503303658536637,gender bias and stereotypes,gender bias and stereotypes; intersectionality in education and technology; language models and social inequalities
75,migration_electoral_germany_public opinion_preferences,"[0, 5, 15, 50]",67,attitudes_migration_electoral_germany_driven,50,democratic_competition_socio economic_germany_vignette experiment,0.8468145739058657,Political attitudes and voting behavior,Political attitudes and voting behavior; Democratic processes and party competition; Public opinion and ideological ambivalence
74,parental_welfare_germany_differences_labour,"[11, 30, 31]",63,parental_germany_labour_inequality_migration,30,welfare_crises_multilevel_factorial_europe,0.8277376951389377,European social inequality and mobility,European social inequality and mobility; Intergenerational transmission and welfare; Labour market integration in Europe
73,knowledge graphs_open science_heterogeneous_machine learning_pipeline,"[6, 10, 32]",6,similarity_open science_computational social science_package_training,57,knowledge graphs_heterogeneous_pipeline_artificial intelligence_semantic web,0.8248248784884789,computational reproducibility and open science,computational reproducibility and open science; knowledge graphs in scientific research; argument mining and information extraction
72,profile_memory_web tracking_prevalence_behavioral,"[39, 48]",39,web_functions_behavioral_temporal_satisfaction,48,profile_web tracking_germany_heterogeneous_health related,0.8231266948905878,digital behavior and web tracking,digital behavior and web tracking; online routines and user profiles; web-based health and social research
71,closed_elections_quality_reduction_distributed,"[1, 13]",13,cognitive_loss_labels_pretesting_coding,1,elections_distributed_dimension_party_europe,0.7993238575620828,survey data harmonization methods,survey data harmonization methods; open-ended survey question analysis; web probing and cognitive pretesting
70,violence_diversity_age_europe_higher education,"[18, 23]",18,acceptance_cohorts_younger_cross cultural_german,23,violence_europe_higher education_inequalities_women,0.7977720427713475,gender stereotypes and violence,gender stereotypes and violence; cross-cultural gender attitudes; higher education gender inequalities
69,machine learning_nonresponse_architecture_validation_waves,"[28, 37, 41]",37,validation_machine learning_annotated_versions_strategies,61,machine learning_nonresponse_architecture_waves_deep,0.7787183455098244,machine learning in survey research,machine learning in survey research; validation of annotated data; machine learning model extraction
68,recruitment_probability based_mixed mode_online panel_waves,"[14, 25, 26]",26,interventions_recruitment_response behavior_testing_online panel,53,probability based_recruitment_mixed mode_online panel_waves,0.7550793089017052,Probability-based panel recruitment,Probability-based panel recruitment; Survey participation and response behavior; Incentives in online panel studies
67,attitudes_migration_electoral_germany_driven,"[0, 5, 15]",15,public opinion_driven_ads_privacy_cross national,54,migration_germany_preferences_ideology_voting behavior,0.7462022977866588,public opinion and voting behavior,public opinion and voting behavior; political attitudes and party dynamics; authoritarianism and democratic processes
66,content_web tracking_political attitudes_detect_time,"[29, 44]",29,political knowledge_web tracking_immigration_actors_european union,44,exposure_time_computational social science_web tracking_registration,0.7427481736647408,online political information behavior,online political information behavior; web tracking and political attitudes; digital trace data analysis
65,fake_named entity recognition_media_corpus_deep learning,"[3, 36]",3,social media_texts_uncertainty_scientific publications_access,36,fake_news_named entity recognition_deep learning_machine,0.7268419870963881,Fake news detection in scholarly communication,Fake news detection in scholarly communication; Open access and bibliometric analysis; Named entity recognition in low-resource languages
64,facebook_digital trace_linkage_reuse_social science,"[9, 19]",19,digital trace_sharing_disciplinary_vignette experiment_linkage,9,facebook_inclusion_social sciences_control_measurement invariance,0.7014274121511004,digital trace data management,digital trace data management; measurement and data quality; data sharing in social sciences
63,parental_germany_labour_inequality_migration,"[11, 31]",11,parental_germany_changing_socioeconomic_gaps,31,labour_migration_differences_couples_germany,0.6906839139264377,intergenerational socioeconomic mobility,intergenerational socioeconomic mobility; school-to-work transitions; wealth and labour market inequalities
62,fact checking_online_tasks_knowledge graphs_landscape,"[21, 33]",33,hybrid_journalism_knowledge graphs_multilingual_fact checking,21,fact checking_tasks_landscape_online_classification,0.6752105708788358,computational fact-checking and misinformation,computational fact-checking and misinformation; online discourse and claim analysis; multilingual and hybrid fact verification
61,machine learning_nonresponse_architecture_waves_deep,"[28, 41]",41,learning models_entities_task_energy_citizenship,28,nonresponse_machine learning_panel_waves_time,0.6717718628666562,machine learning in panel surveys,machine learning in panel surveys; nonresponse prediction and model extraction; scholarly entity recognition in surveys
60,extraction_knowledge graph_user_language models llms_performance,"[4, 46]",4,extraction_knowledge graph_language models llms_named entity recognition_performance,46,language models_training_computer_zero_benchmarks,0.6480897825542487,prompt engineering for language models,prompt engineering for language models; knowledge retrieval in llms; code understanding with language models
59,political_security_misinformation_social media_climate,"[16, 45]",16,security_misinformation_social media_climate_political parties,45,privacy_media_credibility_ethnic_perspective,0.6395560490539016,media trust and credibility,media trust and credibility; privacy and digital communication; political and social media discourse
58,graph_network_sentiment_domain_classification,"[7, 38]",38,recommendation_graph_named entity recognition_natural language processing_user,7,graph_networks_label_consistency_family,0.6378219862844945,Graph-based recommendation systems,Graph-based recommendation systems; Natural language processing for networks; Kinship and social network analysis
57,knowledge graphs_heterogeneous_pipeline_artificial intelligence_semantic web,"[10, 32]",10,knowledge graphs_semantic web_machine learning_pipeline_argument mining,32,knowledge graphs_heterogeneous_domain_artificial intelligence_scientific publications,0.6074440177056246,knowledge graph construction and analysis,knowledge graph construction and analysis; semantic web and scholarly data; argument mining and information extraction
56,face_mixed mode_panel_questionnaire_wave,"[43, 47]",47,panel_mixed mode_labor_attitudes_interviewer,43,interviewer_mixed mode_concurrent_self administered_rates,0.599033892811732,survey mode effects,survey mode effects; mixed-mode survey methodology; interviewer and response behavior
55,personality_literacy_vocational_adolescents_differences,"[12, 17]",12,personality_vocational_matching_outcomes_state,17,literacy_adolescents_inequalities_emotional_categories,0.5810285259906005,"personality, literacy, and social skills","personality, literacy, and social skills; lifelong learning and individual differences; social-emotional competencies and outcomes"
54,migration_germany_preferences_ideology_voting behavior,"[0, 5]",5,populist_party_voting behavior_right wing_personality traits,0,migration_party_candidates_attitudes_german federal election,0.5736952942716359,right-wing politics and voting behavior,right-wing politics and voting behavior; authoritarianism and political attitudes; party preferences and electoral ambivalence
53,probability based_recruitment_mixed mode_online panel_waves,"[14, 25]",14,recruitment_online panel_probability based_mixed mode_mail,25,probability based_inclusion_mixed mode panel_waves_levels,0.5717875136325634,probability-based online panel recruitment,probability-based online panel recruitment; panel survey methodology and incentives; response quality in longitudinal panels
52,19 pandemic_health_trust_cohort_classes,"[2, 20]",2,covid 19 pandemic_trust_cohort_invariance_social science,20,risk_children_19 pandemic_life satisfaction_immigration,0.479833283833165,pandemic social impacts and responses,pandemic social impacts and responses; public health crises and society; survey research in health emergencies
