Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
59,machine learning_performance_language models_texts_fake,"[3, 6, 8, 18]",50,machine learning_language models_fake_errors_llms,18,content_moderation_machine learning_accuracy_platforms,0.7957784608892574
58,workshop_natural language processing_retrieval_transparency_citation,"[31, 32]",32,workshop_retrieval_natural language processing_https_growing,31,transparency_citation_natural language processing_named entity recognition_preferences,0.7928869098750686
57,women_germany_multilevel_employment_market,"[23, 28]",23,germany_younger_interplay_household_attitudes,28,gender_contextual_market_lead_employment,0.7762310266404674
56,voters_attitudes_germany_climate_government,"[0, 20, 36]",36,electoral_multi level_united kingdom_italy_database,43,candidates_germany_climate_public opinion_traits,0.7637220835017441
55,arguments_multilingual_matching_llms_aware,"[37, 41]",37,multilingual_socio cultural_retrieval_llms_comparison,41,arguments_quality_mining_llms_graph,0.7441667364993956
54,domain_frameworks_users_social science_digital trace,"[5, 7, 25]",25,comparability_instruments_projects_german_ex ante,49,domain_digital trace_social science_reuse_machine learning,0.7370048428933494
53,european_welfare_attitudes_lower_energy,"[2, 9, 13]",48,attitudes_cohort_web_gaps_government,9,energy_welfare_european_migration_labour,0.7142542634824676
52,fact checking_online_topics_landscape_computational,"[12, 27]",12,fact checking_graphs_landscape_online_prediction,27,gender_performance_mining_debates_computer science,0.6925133339768712
51,exposure_political_social media_annotation_trust,"[1, 17]",1,social media_parties_crisis_trust_inference,17,behavioral_digital_web browsing_reference_german,0.6913027108463667
50,machine learning_language models_fake_errors_llms,"[3, 6, 8]",8,machine learning_index_authors_types_baseline,47,fake_training_errors_llms_large language models,0.6896787332995788
49,domain_digital trace_social science_reuse_machine learning,"[5, 7]",5,digital trace_reuse_energy_domain_social sciences,7,frameworks_willingness_sharing_machine learning_social science,0.6587622532369111
48,attitudes_cohort_web_gaps_government,"[2, 13]",13,government_trust_women_cognitive_diversity,2,cohort_web_profiles_children_emotional,0.6565869792996205
47,fake_training_errors_llms_large language models,"[3, 6]",6,fake_coding_disciplines_validation_social media,3,errors_llms_retrieval_training_large language models,0.652378774965271
46,participation_waves_bias_older_probability based,"[10, 16]",16,participation_google_engine_lower_probability based,10,waves_bias_differences_response behavior_questionnaire,0.612846367159562
45,personality_educational_track_inequalities_effects,"[11, 21]",21,track_inequalities_educational_emotional_german,11,students_personality_success_matching_higher order,0.6038231197744113
44,open ended_web_labels_nonresponse_coding,"[34, 38]",38,open ended_cognitive_interviews_version_nonresponse,34,classification_open ended_loss_german language_sensitive,0.5909255984741312
43,candidates_germany_climate_public opinion_traits,"[0, 20]",0,voters_opinion_germany_climate_traits,20,campaigning_search engines_negative_attitudes_regions,0.5799528259181749
